"","X","totalTime","fittingTime","predictionTime","accuracyTime","testingAUC","spatialResolution","taxon","numPredictors","trainingExamples","cells","cores","GBMemory","ID_unit","Prob","Stratum"
"258",4788,8.58199999999999,1.87899999999996,5.048,1.62600000000003,0.698288117885861,0.5,"Picea",5,50,35000,4,6,4788,0.1,258
"259",4959,147.356,117.73,27.316,2.27199999999993,0.785829975481657,0.25,"Picea",5,1000,140000,4,6,4959,0.1,259
"260",4825,126.976,114.293,10.9,1.74800000000005,0.776456925803229,1,"Picea",5,1000,8750,4,6,4825,0.1,260
"261",4779,86.673,73.295,11.159,1.999,0.769916338772184,0.5,"Picea",5,1000,35000,4,6,4779,0.1,261
"262",4791,30.3800000000001,21.556,7.08500000000004,1.70600000000002,0.762528855491281,1,"Picea",5,500,8750,4,6,4791,0.1,262
"263",4782,99.029,29.529,67.074,2.18299999999999,0.76489665442932,0.1,"Picea",5,500,875000,4,6,4782,0.1,263
"264",4783,10.147,2.30599999999998,5.756,2.05000000000001,0.653252968262022,1,"Picea",5,50,8750,4,6,4783,0.1,264
"265",4796,63.86,41.688,20.539,1.601,0.761250734374931,0.25,"Picea",5,500,140000,4,6,4796,0.1,265
"266",4886,10.492,1.76999999999998,6.96499999999992,1.72700000000009,0.705092686267151,0.25,"Picea",5,50,140000,4,6,4886,0.111111111111111,266
"267",4795,51.685,37.754,11.897,1.99799999999999,0.757669708727253,0.5,"Picea",5,500,35000,4,6,4795,0.1,267
"268",4801,185.205,91.745,91.373,2.04899999999998,0.777793010653534,0.1,"Picea",5,1000,875000,4,6,4801,0.1,268
"269",4800,47.275,5.17099999999999,40.449,1.625,0.694563710559925,0.1,"Picea",5,50,875000,4,6,4800,0.142857142857143,269
"270",4892,38.615,29.055,7.333,2.01299999999998,0.751920789518144,1,"Picea",5,500,8750,4,9,4892,0.1,270
"271",4996,25.501,13.8999999999999,9.5630000000001,2.00399999999991,0.754858389778458,0.25,"Picea",5,500,140000,4,9,4996,0.1,271
"272",5003,119.966,104.508,13.7150000000001,1.71199999999999,0.784082989968007,0.5,"Picea",5,1000,35000,4,9,5003,0.1,272
"273",4901,9.15600000000001,2.06400000000002,4.89100000000002,2.16899999999998,0.728920702798178,1,"Picea",5,50,8750,4,9,4901,0.1,273
"274",4962,8.03700000000003,1.2170000000001,4.65300000000002,2.1389999999999,0.677128434942799,0.5,"Picea",5,50,35000,4,9,4962,0.111111111111111,274
